Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51
gorUSNM174715_LM1,0.036457462320638984,0.07294973493469886,0.02087810030839131,-0.02317588996119425,-0.02442768768482213,-0.021396740877066528,0.04062423408495468,0.010778175894651985,0.012189559257574407,0.01119400467167221,0.017033080286100954,0.01663579223183387,0.008037982114830974,-0.02924233855811566,0.0015740269359850656,-0.006184144495680969,0.01993806314315459,0.00018901911749880313,-0.021040624289131966,-0.0014257130424029916,-0.0003069167425933015,-0.010016356024826659,-0.038583119902338134,-0.028204601260952623,0.004157986567909605,0.02112985185162878,0.023512919159385803,-0.0663476901405368,-0.034720540663824746,0.01589181748711105,0.013899548978234116,0.05284199559451826,-0.021167956134323256,-0.001300235121271912,0.06018357629293251,-0.036175102115794576,0.013099711784950691,-0.012847685368905407,0.05019840713821404,0.08594265954917586,-0.021397371240850543,-0.05027285919660166,0.05906503978690328,0.04246287621200855,-0.0009107177678214151,0.09189637699736009,-0.03748430128686917,-0.023008515044840434,0.11516562482369838,0.1360756328602105,0.07837356670732522
gorUSNM174722_LM1,0.023361162503968195,0.07435871132832997,0.0107945817780917,-0.012292185485970752,-0.04448363484289042,-0.009353247014398387,0.06194013495643157,-0.003192084452298225,0.02373997610248484,-0.00822371713420143,-0.0104576683095198,0.0166917320280972,-0.004947770215373642,-0.035974715397803135,-0.014246467481927812,-0.011228642883346827,0.014980481211855308,0.0008464888013428847,-0.03216949011289193,-0.0004382721840052225,0.005790642755152177,-0.01558869933847402,-0.03764149988324438,-0.02353826952028448,0.016594803139495427,0.011325072138812809,0.02496368617160299,-0.07437809671307344,-0.020284284565937727,0.012690852509579329,0.02275313483072188,0.04229406620703402,-0.014162100412448198,-0.014021316313122492,0.06489184012526523,-0.03555776171270079,0.012001885749280804,-0.009746552997731889,0.044097797502278824,0.08178936984646529,-0.018784044067691255,-0.05314671467916785,0.05469962073810762,0.042723652470722066,-0.002355885143830424,0.09156928595223918,-0.04248500315036832,-0.02391505857098641,0.11060221444806641,0.13336578095272383,0.07837356670732509
gorUSNM176209_LM1,0.009195028389593619,0.0013544423808984347,-0.08089749177507716,-0.016377248789735274,-0.03034143446750694,-0.0294025729982491,0.03322229243701677,0.004967764195377053,0.009039383084863142,0.009753128921581427,0.015496006872106971,-0.01290414844999939,-1.2944323107663865e-05,-0.041756259857363844,-0.014590482175153165,-0.0023341415316730564,0.02755914089714897,0.012032754779867802,-0.024509442488896638,0.009823672561873798,0.008335413633313984,-0.0037673308920457313,-0.049979753657678025,-0.019843034988494355,0.00034254062323005644,0.011159795368982919,0.034818589154987784,-0.0688083002518427,-0.02153189508413702,0.017541809735439506,0.020442880353460518,0.04756108208664958,-0.01634536684341718,-0.00835172897685883,0.0643284819379115,-0.03789177694370953,0.007701128263534024,-0.01460252399754405,0.04451494274465167,0.08384978797977774,-0.019170171335046993,-0.04887275820486773,0.05853954048228641,0.04031658655700469,-0.0002975645987320246,0.09638415818069695,-0.041641217815618116,-0.024634895927806964,0.11199032888799249,0.1332692542679755,0.07837356670732516
gorUSNM176211_LM1,0.01709466794184043,0.04594824534561671,0.022195599759826302,-0.02635269071033804,-0.020009385253710595,-0.03284312947866599,0.047569484315477605,0.024908485525727383,0.003455038747333988,0.015458595903793457,0.0023593278225537704,0.009114511491735741,-0.0016738256557447843,-0.0211481143661775,-0.018322020264235492,-0.004883107737563475,0.024831481528329976,0.005621396689031869,-0.026674258592121868,0.009914220821522327,0.006523569451245425,-0.014730979479129165,-0.045506635254981956,-0.019543156206765423,0.013986822065245822,0.01026705895746698,0.04371593799125931,-0.08492309437294401,-0.02806514166315468,0.014906238908740608,0.013265638444865401,0.04006098806914705,-0.020141323172718946,0.0006994998475548337,0.06818509088527465,-0.039662836123426595,0.005298493128777467,-0.008905168208164567,0.05333708051610723,0.08718266833528283,-0.01824427393016568,-0.05230682703068378,0.0584894635893172,0.04458407945811337,-0.001803127808392388,0.09243215301734,-0.03916757821907508,-0.024578480265173227,0.10858869015893467,0.13331245629610708,0.078373566707325
gorUSNM176216_LM1,0.018847534708864577,0.031469411460041626,-0.019048135803448836,-0.027197443584985558,-0.03234111115461563,-0.037780590566602316,0.047429624106397755,-0.009406483852243649,0.024195019283505086,0.007424520298112381,-0.005281456198375275,0.009051503693571675,0.007897425449540295,-0.03108657073145492,-0.005591175085515465,0.012645555505025665,0.009117174589402243,0.0028365084897074666,-0.02328206173646269,0.008330693474287401,0.013585021508459808,-0.01941797584972971,-0.050815037141798865,-0.022585669324150355,0.011349192038096846,-0.0006856561469009005,0.03170686006797019,-0.07286208315092388,-0.023988558675773337,0.015954846463929508,0.012014510079298638,0.046514997013589,-0.018860547315955767,-0.0047485721050285114,0.06770652366374014,-0.045273636787427594,0.017149419514862978,-0.018719942304037174,0.05192574154590188,0.08716322486641777,-0.024182473093732195,-0.05541953170614684,0.051840572386970055,0.043808304016723636,-0.001187653634556341,0.09582519456601428,-0.03787202779669303,-0.023685524103437897,0.11414714302128046,0.13343769438715686,0.0783735667073252
gorUSNM176217_LM1,-0.011940367752097319,0.06305492826997025,-0.016765664332216837,-0.016063260262260914,-0.015238606534944101,-0.018136725150717313,0.060902396997729334,0.028550877522476707,0.009869981445084539,0.020102618680187617,0.01072387533979318,0.013533978736990556,-0.0011082311833507021,-0.023317762488902865,-0.003949438292179452,-0.003263937156898945,0.015090855864766776,0.016494346631224434,-0.023163163394193918,0.004203892560618356,0.02347227200950744,-0.01955967158845974,-0.05216559750065466,-0.021285037033445003,0.004635707928846199,0.016066103799492196,0.03664033602610471,-0.07275718332649743,-0.021531659993075616,0.026019219471704467,0.025188116888330052,0.04573210331086906,-0.013699227167792802,-0.0015681450172413645,0.06542564491903911,-0.03308938416529659,0.016985232527042322,-0.011076793209674123,0.04787087709237113,0.08332258866731487,-0.020479075196963643,-0.054125549656408214,0.051058315557436035,0.03973465907591899,-0.0017577212458059531,0.08982243990559373,-0.0395232007417926,-0.028435789568516445,0.11416334713511381,0.1345969846688392,0.07837356670732518
gorUSNM220060_LM1,0.04862871450199963,0.033800769762502084,0.01597117559764785,-0.013368933122115578,-0.014511867476887125,-0.03747120989970096,0.052092733349528395,0.012525247545585007,0.03852005455446639,0.019179065358083638,0.017059854847136065,0.012297450147090166,-0.003026466418177303,-0.02637158859272185,-0.0056748190269781335,-0.006576290733624793,0.018200925423051646,0.008538648606302032,-0.014393770476858494,0.006372524998574434,0.018163934001898266,-0.0007426822201686174,-0.048225246914264205,-0.04620829601651618,0.012620134913858737,0.007822458022604846,0.03700631181580388,-0.07281702582534393,-0.021907951739572665,0.02140834111190684,0.017039143505918335,0.04015614137321105,-0.017297813261025294,-0.013233101583081368,0.06318129425599829,-0.036250117966261625,0.013527605681457125,-0.013696652182656147,0.054489079111818085,0.07777936728581672,-0.021225232031490116,-0.0488688962518814,0.0571650463501458,0.04460860586895255,-0.0028422662316993893,0.09473417555749113,-0.040082886144745644,-0.023957577503079388,0.11178205311986686,0.13339331767675872,0.078373566707325
gorUSNM220324_LM1,-0.004545592851718864,0.06956321361745624,0.009256679248608377,0.0031733520450537996,-0.02899000009195111,0.010583942326353304,0.03623452097310217,-0.0026421416667965045,0.010776401658712102,0.011915319489057238,0.012592236033498395,0.01772771942944121,-0.006936336091880134,-0.04858176814890101,-0.0095236506151055,-0.009067497187888652,0.021668450635235252,0.011871520060523924,-0.030234207382414665,0.012143466392811825,0.008705755285125464,-0.01736021497283335,-0.04795857123942256,-0.03207972754435262,0.007821310848935283,0.01101485235679637,0.042987555588243145,-0.06583164835222188,-0.02623324919428225,0.020880132763076695,0.005363618080703796,0.04491073743044449,-0.016161663971053522,-0.011024988943417555,0.06107644247587228,-0.03831925170681679,0.015510601350829274,-0.009034659574153777,0.05090546132744644,0.09001534435563345,-0.02209904917744697,-0.05339693544174883,0.05699424224438089,0.043207856434660796,-0.002067075325181348,0.09426789345836793,-0.03937452608902788,-0.029482772518582844,0.11208106834865746,0.1304517031000451,0.07837356670732515
gorUSNM252575_LM1,0.012137108143345262,0.012068922656763575,-0.02198676113201531,0.009177992120034369,-0.0384157397934149,-0.01218864817183487,0.04699526697675486,0.01471071463032052,0.02260945321686885,0.008991606306726295,0.012637094474191035,0.043543634132364256,0.010841291615059685,-0.04798211085682241,-0.010845528398093923,0.004300378448209192,0.019533779656681707,0.00652314307523013,-0.01957473259948291,0.011927003648857099,0.0008177450170969223,-0.0004193625564448214,-0.05760371234015175,-0.029497281691017105,0.01134816212779855,0.008491581090484899,0.03393164148663144,-0.07417294216790336,-0.022298192753293283,0.01759520660626321,0.02240319672177865,0.03734123340205931,-0.013004492979356203,0.000917035801670533,0.06349252465820947,-0.03675474707149425,0.009434203806707309,-0.008234164088067226,0.049488388836799374,0.08979347865781856,-0.023226364973962393,-0.0517674026087301,0.054024492385741904,0.0435148329256295,-0.000603472173822229,0.09337638018176458,-0.041621276706332096,-0.022693031242070952,0.11423741973421557,0.1353384689734276,0.07837356670732509
gorUSNM252577_LM1,0.040720957813884996,0.036255915206177255,-0.011814700466368424,0.013888024471391786,-0.016456332423274243,-0.05351745863878871,0.04158210596509996,-0.0048765209829231375,0.01674067982023486,0.01592675362509746,0.007228587662651779,0.026897047882439136,-0.0038822184053080655,-0.03939184864196982,-0.008974547594932535,-7.057845211181518e-05,0.02023125054512504,0.010218001640049542,-0.03193100579355156,0.007567565715231773,0.029406153094901813,-0.012626630504495312,-0.042267238892423634,-0.030490996547602612,0.025436114731958646,0.014019058624416245,0.02866419877257425,-0.07411848261727938,-0.031844196134606255,0.01692072816003402,0.016437657928848135,0.04909218387206889,-0.015085993118694227,-0.0026491560220335197,0.06252634787159213,-0.03436467032889793,0.007475342012528195,-0.014505925156740554,0.0472373597734968,0.08848962507601399,-0.021850536483366347,-0.048068466509182374,0.05465341151708459,0.040005091335700904,0.003527998030055953,0.09345829623175826,-0.03981519859232002,-0.026915385988364283,0.11075721484025043,0.13199513625307502,0.07837356670732519
