Sample_name,proc_dist,centroid,LM 1_X,LM 1_Y,LM 1_Z,LM 2_X,LM 2_Y,LM 2_Z,LM 3_X,LM 3_Y,LM 3_Z,LM 4_X,LM 4_Y,LM 4_Z,LM 5_X,LM 5_Y,LM 5_Z,LM 6_X,LM 6_Y,LM 6_Z,LM 7_X,LM 7_Y,LM 7_Z,LM 8_X,LM 8_Y,LM 8_Z,LM 9_X,LM 9_Y,LM 9_Z,LM 10_X,LM 10_Y,LM 10_Z,LM 11_X,LM 11_Y,LM 11_Z,LM 12_X,LM 12_Y,LM 12_Z,LM 13_X,LM 13_Y,LM 13_Z,LM 14_X,LM 14_Y,LM 14_Z,LM 15_X,LM 15_Y,LM 15_Z,LM 16_X,LM 16_Y,LM 16_Z,LM 17_X,LM 17_Y,LM 17_Z,LM 18_X,LM 18_Y,LM 18_Z,LM 19_X,LM 19_Y,LM 19_Z,LM 20_X,LM 20_Y,LM 20_Z,LM 21_X,LM 21_Y,LM 21_Z,LM 22_X,LM 22_Y,LM 22_Z,LM 23_X,LM 23_Y,LM 23_Z,LM 24_X,LM 24_Y,LM 24_Z,LM 25_X,LM 25_Y,LM 25_Z,LM 26_X,LM 26_Y,LM 26_Z,LM 27_X,LM 27_Y,LM 27_Z,LM 28_X,LM 28_Y,LM 28_Z,LM 29_X,LM 29_Y,LM 29_Z,LM 30_X,LM 30_Y,LM 30_Z,LM 31_X,LM 31_Y,LM 31_Z,LM 32_X,LM 32_Y,LM 32_Z,LM 33_X,LM 33_Y,LM 33_Z,LM 34_X,LM 34_Y,LM 34_Z,LM 35_X,LM 35_Y,LM 35_Z,LM 36_X,LM 36_Y,LM 36_Z,LM 37_X,LM 37_Y,LM 37_Z,LM 38_X,LM 38_Y,LM 38_Z,LM 39_X,LM 39_Y,LM 39_Z,LM 40_X,LM 40_Y,LM 40_Z,LM 41_X,LM 41_Y,LM 41_Z
gorUSNM174715_LM1,0.08527877093161011,503.303629857492,0.001543578325962187,-0.025348012805482892,-0.06282489174061567,-0.008362946090206597,-0.15623325815232333,-0.02951313495907972,-0.00104538299910391,0.029211376750676518,0.051537940191984564,0.002445554132241644,0.08216156198871151,0.014029426617037469,0.005163603075154729,0.09399937291592761,-0.010101122737742142,0.009425469087959396,0.13931008207936124,-0.09245295265062298,0.010581813708887477,0.19966728994995178,-0.0955563827349815,-0.010393578075692581,0.13750401619273986,-0.09846325203081181,0.02717082396872365,0.13388195561441707,-0.09586838366739006,-0.02774494375103526,0.1771659551910127,-0.09891622486127441,0.050398146792715426,0.17163651273674949,-0.10049774547513954,-0.029080123545660596,0.14074656013880613,-0.07345648334559651,0.045666805999919666,0.1350263761769773,-0.0742333224558888,-0.048338876609317016,0.15218697088117666,-0.07889057552625592,0.06378151925472274,0.14246126597382114,-0.08277089628996737,-0.07299199196992437,0.150204053132155,-0.06700114546749925,0.09179561802993196,0.13864646543525555,-0.06999927296413132,0.0016706439873070773,0.0006798107963410607,0.12876266724995722,-0.00609995481828939,-0.10517868735031202,0.06354327254415405,-0.009179568321628693,-0.1517171362392184,0.0068347098217789014,-0.011710825024084177,-0.21058815499781403,0.0013608134816866053,-0.0744702822536231,0.01858149904325821,0.13797081086458804,0.07092008537244972,0.01904249219467793,0.1386893304283451,-0.11471039025293557,0.023830842834295863,0.10170163788465837,0.11379442303128835,0.015122447639605142,0.0983208707705384,-0.02036573745820658,-0.0037031954425773574,0.0910400953342951,0.022837011986195588,-0.004942989895236199,0.0890929788852842,-0.04607385602033763,-0.03623621971050131,0.06412945455107949,0.042322487758344685,-0.04104243941205664,0.06399040859305953,-0.15878116409334708,-0.004048887419270515,0.03290494567135865,0.15684084267899492,-0.015409736363514675,0.03239902076366648,-0.1306370823277565,-0.06411794003852596,-0.012060407596477214,0.12131083498644593,-0.07448934494233947,-0.011619218412231857,-0.07048851598441966,-0.08371449479164568,0.03564082464238258,0.058452338738122445,-0.08910285956790957,0.037909885626816374,-0.047510319902897474,-0.1417251895544425,0.02885699595191505,0.030013262194045674,-0.14477501800626902,0.029506933866797935,-0.04624067559729751,-0.20880196112615304,-0.0035030635173251123,0.023164744684344665,-0.21277171563584157,-0.0009499053658107204,-0.07789353047065906,-0.1600142765246275,-0.046900289348672006,0.06282013777266861,-0.16710538968986025,-0.04264435259387095
gorUSNM174722_LM1,0.08791701526350294,492.3406263662914,-0.004166141920934876,-0.03782548860679584,-0.053017174924345815,-0.008308781783898921,-0.16441689569523413,-0.01938164870209683,-0.0011854381592408478,0.02468436042208368,0.03682698986075032,0.004324815904857742,0.08537059752578381,0.0027830670420844654,0.003432241748156363,0.10035422928594313,-0.012957257966757651,0.00824975327607942,0.143934258010906,-0.08779416311131241,0.013666606496829353,0.19421742955995427,-0.09045959490566066,-0.0082773781194757,0.14012625057334488,-0.09019541636836377,0.024766096848466645,0.13651564972662966,-0.0921054203420889,-0.024465863631884813,0.18000462018207622,-0.09382413585150286,0.04526134811581767,0.17633282590210214,-0.09504282286646747,-0.031159618909981025,0.13933492702969652,-0.0696999690245263,0.04918066193888256,0.1386135327514316,-0.0731856669929155,-0.04553176525593317,0.14898253664823244,-0.07975306522843627,0.06497078266143282,0.1397166182437672,-0.08316608128569536,-0.07258757629058792,0.145850706986823,-0.0731315699368233,0.0911231575759666,0.1396006542379596,-0.0747727290257842,-0.0007699891692133976,-0.008202531862890087,0.12412530015439853,-0.00892842716684838,-0.11362038315986948,0.06124112312096232,-0.009471908200262509,-0.17287262406482048,0.01526936868399935,-0.012046251524410485,-0.2160887923973302,-0.005280704861443155,-0.07064031553865191,0.01872602820070453,0.13613335141090419,0.06348847427109897,0.013690284588834914,0.14110832814928004,-0.11264095441786748,0.020720953182964238,0.09598057785950707,0.11182701801974833,0.018118425305400997,0.09569613369516429,-0.032559980996726544,-0.001319044503216721,0.08114699177863884,0.03004267330050666,-0.005475213256120219,0.08371463906990777,-0.06254458667486434,-0.03491214144151727,0.0575112306830674,0.06649172456720348,-0.03929528873260782,0.05731837114950294,-0.16227811353192084,0.00567370254827593,0.03335197796570251,0.16084802062311707,-0.007810578004762386,0.034639345148109964,-0.13247088898084358,-0.05518735895773831,-0.0023980117436826123,0.12823047926031447,-0.0709324973552475,-0.010433312421782815,-0.07285968327960608,-0.07559448613781238,0.02930151650207496,0.06188575438143619,-0.08185651314839858,0.028525677154239305,-0.043233816836304825,-0.1449951702302727,0.03088753103483534,0.026503760132442957,-0.14655955815121655,0.03168184948049947,-0.047001131506135274,-0.2049787339321755,0.000363291680832548,0.025947647056036482,-0.20835365907859799,-0.0006016498844325609,-0.08473823431362221,-0.15611124978065688,-0.035360069821594155,0.0676258300308211,-0.16416038241563174,-0.03504619635874793
gorUSNM176209_LM1,0.09827722970868119,514.3899951810395,-0.0012181627008575383,-0.02384086014867655,-0.07372134598029126,-0.010984109099686067,-0.1682952867863387,-0.00750424461180455,0.00028937555406549344,0.014662228180226087,0.03458233132800219,0.0055888638477014415,0.08711898342119748,-0.0020931042504054157,0.006159046124182513,0.1023262288906,-0.018462520208217006,0.009093772846720596,0.15474070828073258,-0.09335752361343694,0.01154667407830077,0.21640980152497438,-0.08974738840251056,-0.01153000999845686,0.15123130324977094,-0.09818138938998634,0.027475836975546883,0.14858303919956575,-0.1002171707673697,-0.03107366026168621,0.19152121190579488,-0.09762103700561825,0.05251278616728342,0.18601597908156367,-0.09940218909665852,-0.025561040973834354,0.14683093529165261,-0.07806988619825948,0.04399940596237415,0.14373045969935427,-0.07484519647432365,-0.04779077680030621,0.1607765219752291,-0.08214189705117976,0.06622330611373828,0.1536319420088879,-0.08143714179715508,-0.06610417403153905,0.14834414549477806,-0.07218422620343956,0.08415600097407203,0.14592356366882175,-0.07390731728909568,-0.002291014670699853,-0.03595496147542031,0.09974589148541552,-0.005488901405868851,-0.08779172148810718,0.0478670427780017,-0.008269295216555825,-0.13947818306260856,0.008847618867320379,-0.013982515769995662,-0.20927115832522358,0.03199238525773222,-0.0754854264847621,-0.012670193421622303,0.12568154028469383,0.06720147405623059,-0.021023939174030105,0.1280262866421217,-0.118985007160629,-0.008935446788620918,0.08958669525700581,0.1212167726245988,-0.01859761032238208,0.08921212912532633,-0.036510668736496346,-0.016190889128521423,0.08111364918476179,0.033980140050908325,-0.023725761808738675,0.08053775735228222,-0.05845278413852429,-0.04433260413654008,0.065755377645707,0.05701004927103343,-0.05144662842234919,0.0663570849145209,-0.152109234571231,-0.015174329179510695,0.02884953324508409,0.14894844726339873,-0.026720113199345436,0.027072699860418676,-0.12609138339157613,-0.06389646638248757,-0.013055457113742619,0.12261664478520727,-0.06736097148297901,-0.010598175968087783,-0.06286946678383437,-0.06861499634926922,0.0389467062321165,0.05658502738687177,-0.07371310923708473,0.040736959807812105,-0.04555463407798079,-0.12005178985258246,0.0420574929528635,0.029735115030422744,-0.12640266227484098,0.04421086305480552,-0.049358233510413206,-0.20120260294878137,0.027284964879661745,0.021986476066034193,-0.20418281037007538,0.0308359875015174,-0.07780586839772458,-0.15867872852609646,-0.032097386724146144,0.061191153003965916,-0.1642932275809021,-0.03065639951144523
gorUSNM176211_LM1,0.06467943034674156,508.78895712611006,-0.0006779471785405499,-0.01492102659497271,-0.05703571119285236,-0.009465747065249507,-0.16993506932114968,-0.023366659923857332,0.0021813871575654207,0.024182903711910543,0.04724027591082844,0.005843754422290144,0.08139292926560529,0.00804142320093563,0.005413830124508012,0.09116141209636343,-0.004182106166667115,0.006600566742541372,0.13784866484959535,-0.0920241368441941,0.012461940340327625,0.21647276141146268,-0.08707189715213294,-0.017417922372043995,0.13706170363892045,-0.10172391218688628,0.031309979551217275,0.1362037601863168,-0.10256409113035866,-0.030768434216495864,0.1763576084258615,-0.09767908846142129,0.0502611422307755,0.17215010895929508,-0.1003631147418635,-0.031789350440406955,0.13595102551177887,-0.07066452681244996,0.047677926355238875,0.13149464518630496,-0.06906323754977764,-0.04992984429405121,0.15119500455975973,-0.08125677106987322,0.0677214852351831,0.1459597232349244,-0.08049752220729085,-0.07833320663803539,0.14476144908061087,-0.07064092119895538,0.09471250258570936,0.1352840684140175,-0.06869639768200553,-0.0009129892973598071,-0.0123659924822348,0.11939893046048926,-0.0042401723318619446,-0.0931155645018389,0.05368970934014869,-0.006807242756999149,-0.13968689569178797,0.00877757639787688,-0.008646137934271134,-0.21841118552263994,0.0015040577738533662,-0.0644872432155423,0.023104987572056094,0.13929859542780226,0.06797614445087648,0.018290757825605165,0.13645474883999648,-0.11078017289882335,0.01997719698601476,0.09673081932265205,0.11108633061421597,0.009049522872126611,0.09679961583434503,-0.029620433263464616,-0.00467579761557914,0.09304038240665988,0.02936013923007135,-0.005668660406844217,0.09130027660665087,-0.06714584138406071,-0.03631697447123407,0.06364921961344365,0.058969979672133674,-0.04099750861540883,0.061160466564783515,-0.1508446729998564,0.00026376338516643637,0.028525574465153584,0.14569570624103217,-0.018133214309829594,0.03457308021968321,-0.13543372065676929,-0.05607205310562171,-0.011834329211433937,0.13040454389334896,-0.07253819349964667,-0.010874982255021658,-0.06664609713382316,-0.08300645195795385,0.02713624248588857,0.05096562111661741,-0.07948781532885217,0.037175713768528476,-0.04067550603439737,-0.13557459208596048,0.033819684252548124,0.029937656055021168,-0.135471629900241,0.033118418841873096,-0.05137991936218199,-0.21523143975817854,-0.0015183513314220916,0.027542628464705107,-0.22015183206822087,0.0006372633518217241,-0.08577985612062347,-0.16265326819883566,-0.03956770298207099,0.06565919311147875,-0.17374883173666478,-0.04144661498542539
gorUSNM176216_LM1,0.062069982851054153,505.3445164116437,-0.00197517891424318,-0.028121704537925486,-0.06250209744949445,-0.008958945628244678,-0.16459684991752827,-0.011848230979028497,0.0022452655608800093,0.014808792822314428,0.03627558632189391,0.006518676929971952,0.08145292468502167,-0.0029018321484745556,0.006902209406299381,0.09308978595349693,-0.022890110196769033,0.007942400465854411,0.1450863474316296,-0.09364753271262423,0.011143419217865734,0.21030825138526152,-0.08599543259632333,-0.013479704757208041,0.141973140722289,-0.10266697979813211,0.02894164870505285,0.1404011474866463,-0.10265481425936794,-0.0313692537538553,0.18190571234614347,-0.08985992150855215,0.0498764450306433,0.17880635160977035,-0.09349366102222692,-0.025653370631625427,0.1356457657343569,-0.07113499263212149,0.04360837242914172,0.13449394241578436,-0.07426277267389829,-0.04944227569874986,0.15195369096908723,-0.08232737627155173,0.060883184373797326,0.15026625953279227,-0.08006387910878095,-0.07910291144284087,0.14723048325027563,-0.06641415164568128,0.09707219923702468,0.14184013291535202,-0.06705958413150255,-0.0011630711084046077,-0.012899521368055656,0.11834781853193123,-0.004710425170080946,-0.09378282294661848,0.05609787237323978,-0.007489544477041324,-0.14837077342965965,0.01812204394615586,-0.013181767134944955,-0.22034939268495066,0.007125119195786441,-0.0770978940802845,0.005080732256367331,0.13995497662990344,0.07283055893187193,0.0005472120800358567,0.1417056378131526,-0.11861908533292394,0.005296867293987056,0.09319334190315412,0.12089119004200913,-0.006012802586405089,0.09526682232768717,-0.0300104561207291,-0.0019382563143346687,0.07915775090633236,0.02954037824736923,-0.007162896931641038,0.08398758187631453,-0.05962047075751379,-0.03246794662526441,0.06222969508962575,0.059062649808208564,-0.038087317173353744,0.06322803958495363,-0.15435072651714052,-0.006568564796300025,0.027595122404488026,0.15103076402890553,-0.020495894683204185,0.030224399085705043,-0.1298006415296772,-0.05944784962627433,-0.016149297467719825,0.12305433559067386,-0.07541317260649473,-0.014314670207204127,-0.07659493155322672,-0.06496852263818453,0.027939385051273018,0.06640632223641639,-0.0770213740314933,0.03380920479799069,-0.05303211604515526,-0.13451372699488748,0.038572522714289285,0.037548742922024786,-0.1397035647710331,0.042506019462049315,-0.05430285806543946,-0.2049364241797885,0.010779234142589711,0.02989270438906506,-0.21143050859226023,0.012914396773756873,-0.08679533036321736,-0.14914378860948177,-0.039263043166502164,0.0713594915294739,-0.16275386484547427,-0.03958219095631526
gorUSNM176217_LM1,0.07998931835137339,552.8160770964042,-0.0030319043710453865,-0.015448176603682386,-0.07196539855114177,-0.010724805498982805,-0.16064724080603432,-0.010371498250655208,0.0006556770391508693,0.013525912215387534,0.03670580413750589,0.0038515491660916154,0.08211739810516806,-0.003683822392999844,0.00404579469086945,0.09397601298709929,-0.012935739373481534,0.007999245880609511,0.14511801264726334,-0.0866533258119174,0.014171381060654686,0.2139808052184468,-0.0854956525819535,-0.013586436761652833,0.14706424137468072,-0.09690958413976127,0.030172138966636383,0.14416753986012373,-0.096778057492182,-0.027172658178096158,0.18638822008509334,-0.0958857366098637,0.051235451012144904,0.17936598656363048,-0.09178846005494025,-0.029300960383270524,0.14529197199779217,-0.0725688823158215,0.04334490550142033,0.13929617326179836,-0.07014354875114841,-0.046975747052678346,0.1565190857061942,-0.0785536039816477,0.0636633584526977,0.14693597995296187,-0.07956757325386672,-0.0666893002033031,0.14931752754375263,-0.06218773263305699,0.08359789606307552,0.13897872071399867,-0.06538245150560079,-0.0016004194780724723,-0.008180145802390031,0.1098945328471124,-0.005314558705868728,-0.0979215136574275,0.05332692871987589,-0.009024854171113803,-0.1513053404747719,0.01251852203419842,-0.013374160114962386,-0.22485758467652522,0.01053600623996488,-0.06300053345738724,0.018361522456676393,0.12186095369088015,0.06325767816502427,0.018570502684303113,0.12426260344131539,-0.10284526478502126,0.022157064156545454,0.09264855679919837,0.10221376575356356,0.014501157612149372,0.09603754018434221,-0.03009538506504159,-0.007456704181604719,0.07736560952852452,0.02902005274165744,-0.006965770339132003,0.07663073054420912,-0.05828512461522095,-0.03755209678988637,0.06305489306281702,0.06238127983273478,-0.04231683382836738,0.06527649850742834,-0.14929060587552823,-0.007554674915313141,0.029722682152898312,0.14542943151947185,-0.01625522245770519,0.029300915251098437,-0.12459860220632117,-0.06487005695314202,-0.0061869805192771975,0.11857799846257201,-0.07163395830193779,-0.00634741269164254,-0.06985948194720289,-0.08612562312849349,0.031625278122613405,0.061794321864711406,-0.09324453682677442,0.0344797413279728,-0.04423712433477018,-0.135449569164371,0.04154466782260673,0.029428654470267046,-0.13938538070168663,0.04393964417092703,-0.047278373374168826,-0.22001863317061532,0.010113155393601553,0.021938543529565188,-0.2259770302523575,0.00811534644375796,-0.08191255734533519,-0.16590346243095522,-0.039325408391064576,0.06141973375212494,-0.17656427967988841,-0.03622974112082657
gorUSNM220060_LM1,0.07217984389271426,402.01489323397806,-0.0036449735713892143,-0.01672041898022884,-0.07416400890678661,-0.008232317880197,-0.16442040238623326,-0.02338509643825682,0.002585762981952253,0.01965329533400148,0.03802285604715335,0.005862493233196102,0.08182709217188065,0.01215685735114298,0.005458863026497632,0.0938072066552863,-0.01899903810442659,0.009175622234410452,0.1408844067128843,-0.09772330440578189,0.012807960695134738,0.20852334480880028,-0.0920692704714153,-0.007806293970043373,0.1383706125620527,-0.10065984323169816,0.02583582256767588,0.13468172494951305,-0.10114899272874936,-0.032480106363740435,0.17835587252800053,-0.09643870582008868,0.05932289673566997,0.16759113841082163,-0.0948840160489695,-0.031835103557158094,0.13790418951306882,-0.07489622978775136,0.045694951775848085,0.13299737516198856,-0.07741827904074788,-0.05659124854805307,0.14619846498182482,-0.08836909631940486,0.06783737452387141,0.13901656906253532,-0.08733241796727408,-0.08124464693989912,0.15072069777871128,-0.06774466194974411,0.09455025137971985,0.1416454882857841,-0.06824314761955483,-0.0069890013502461835,-0.008830945925481587,0.12929291442674024,-0.0051529730925134925,-0.09232934179971704,0.05053646701699023,-0.006067653660343134,-0.13884171309475693,0.013830188798959022,-0.009474204412053084,-0.2116515760007849,-0.004196212580288,-0.07173552107829075,0.01878547691804235,0.14359109210009585,0.07123759580110076,0.016013042839383273,0.14662576553055465,-0.12494191308007777,0.011919955767894142,0.11036909561263265,0.12388789026355901,0.0008566802966708551,0.10988364938295253,-0.02480695951445219,-0.008627879754201885,0.09112038907444982,0.0239067486747526,-0.00464395667768477,0.08696657352823026,-0.06578414569556702,-0.045142637841180645,0.06536957115739744,0.06436429618947731,-0.04808644858018713,0.06412790761168223,-0.15335383949733708,-0.00667067041549812,0.033138399635368715,0.15293613052275393,-0.020365909016227667,0.03900355797720592,-0.12135344490778056,-0.060045611849288485,-0.003716270044459768,0.11133692946550387,-0.07114478579534898,-0.004300330690457139,-0.0745497333192902,-0.0803608361482741,0.03374101834154525,0.06338135901910312,-0.09503478283010561,0.035383966014198465,-0.046735984175766056,-0.12563559562239185,0.03098991322510737,0.03383864196443122,-0.13284962384774862,0.03089460861021236,-0.04900932407861294,-0.2009926229874705,-0.003565768905337281,0.03075195655244223,-0.20285166681268363,-0.0037376220030884565,-0.08495557492663706,-0.15934819648729504,-0.03957567882518414,0.06197141601234614,-0.16515701188635826,-0.0424767995531573
gorUSNM220324_LM1,0.08062848209019116,516.6457362190624,-0.0037707868744282524,-0.03425534868335753,-0.061058860080628295,-0.008044308378496016,-0.1730979121237347,-0.01753639372777963,-0.0011774302158729843,0.02491888418121246,0.04079043091076849,0.0030816557424624197,0.0958169611147066,0.005126751448283994,0.0030958255756090894,0.1047022345201282,-0.018783465690614436,0.008889192630213557,0.14446071649985714,-0.08200422462671854,0.015243412529171973,0.1993115664276157,-0.09769664331167986,-0.010236749873399906,0.1459376651128426,-0.0883028906923072,0.027167522061554473,0.14035718774653996,-0.08723901113378457,-0.028437004067691053,0.18234039192380233,-0.09118168404082688,0.05203091445573465,0.1735684505919694,-0.09202668921351578,-0.02344049121115607,0.14456189792761123,-0.06479770835244546,0.044095057533025374,0.1439103570788068,-0.07240729948018632,-0.045802771359304925,0.1541167091680041,-0.07590644864545804,0.0644689364969725,0.14940053443360105,-0.07994807583151771,-0.06996543184163519,0.1532982249665499,-0.07396691083006557,0.09264121430930615,0.1474568539243006,-0.08034885312441764,0.00029136554850559855,-0.003492788986319802,0.11526011003722755,-0.004935391264916107,-0.11309735292545595,0.057263629314021514,-0.007484106267853307,-0.16374700131920547,0.017903561695170225,-0.00878260624618004,-0.21264225523650077,0.014239266785169347,-0.0625330321175241,0.027459561181198158,0.1275745329651595,0.05736052507865633,0.021181274562618205,0.13111882301648994,-0.1010260257509978,0.021273341674699072,0.09530185714330416,0.10559184052321255,0.011478867326097916,0.09604836930681078,-0.021221705732467108,-0.003905300999155194,0.08988709714518858,0.016433787081481015,-0.0033018444125777913,0.08983038081075455,-0.06798876595053079,-0.03791457825674976,0.05463696432700906,0.05810739948885372,-0.04344965885242209,0.05597268997935363,-0.14744207021455438,-0.01415060888125071,0.02662819317514064,0.1392479102863009,-0.021942103863718445,0.028197554608378292,-0.12861728743095954,-0.06793613105802597,-0.01234554414077796,0.11679875172146212,-0.07407095417222197,-0.016462508130476613,-0.06655385883271457,-0.07818479905944425,0.03711361084241186,0.0576215997606552,-0.0863499554838563,0.03199980193714132,-0.04096983477863078,-0.14955729199389783,0.028659348568991837,0.026753490545352594,-0.1484748074058605,0.0287560954265726,-0.04903435942164009,-0.20963888605922956,0.00508978461979601,0.0257833377985326,-0.2157430401373012,0.005701192356860525,-0.07738687193274743,-0.16335446480946147,-0.03348197790648848,0.06014715059663752,-0.1672445956424124,-0.03760485746031337
gorUSNM252575_LM1,0.058730609291940634,417.9652000770177,-0.0009772074228615707,-0.037692285595657495,-0.046007776345250405,-0.0073881193219232965,-0.15965400082513836,-0.0035689570051653297,0.0009787400562185748,0.012406782224718027,0.03871585401653677,0.0021682352556547852,0.07563521449469734,0.004244392439546935,0.003032639570183728,0.09572066653985814,-0.013129319059746687,0.007051618923789489,0.14560216781226906,-0.09150983041772912,0.014186377861714596,0.2175058965564925,-0.09346619940697398,-0.014974165114290604,0.14481293659516664,-0.09528842897153604,0.028238975773647722,0.14186824404516107,-0.09730573922578926,-0.03484867367036185,0.1886564445620286,-0.09798575316897756,0.057289233572611904,0.18231732745692666,-0.0988070184097568,-0.029890613149220917,0.14988171472450437,-0.07823332632069431,0.04521883918326978,0.1483726578721916,-0.07582723036441041,-0.04851053158733059,0.15502001691556688,-0.08814408733276868,0.06483168307257763,0.15008088595418598,-0.0861719389884641,-0.07882634302462294,0.15836200661088787,-0.07362412236070617,0.09143102299821565,0.1493845671275716,-0.06873768076943886,0.0005537075179824079,-0.015933270293111552,0.12009153730915711,-0.004791642564379916,-0.0982350930411499,0.054773276561806396,-0.006738460230849278,-0.14514660957699296,0.016917435009807948,-0.01027494720477839,-0.20597939624450678,0.014674086234549702,-0.06535928282423079,0.01572096416664821,0.12926440062988517,0.06798505709037009,0.00011513125315199002,0.1339130565252651,-0.11633287336024989,0.006459142278394327,0.09980844852685344,0.11147316082366167,-0.009788759778233291,0.10634606785442266,-0.020285730345344047,-0.017013080810692725,0.07675632870317188,0.018505424102716023,-0.016694185090119513,0.07581643466024506,-0.07047428886384983,-0.04603213986540362,0.05446317295092847,0.06845362394268201,-0.05720348569619614,0.05779544094076264,-0.1493223657786999,-0.008205340491453949,0.016855674345540552,0.14579797292271116,-0.02537749026699624,0.01872476051520365,-0.12032545410910826,-0.057025774323112136,-0.010960490045717886,0.11493195593217738,-0.07233925587709829,-0.010888238695093966,-0.0629068277797644,-0.0809583656354103,0.037383584225374904,0.05219425770783907,-0.08969754863425507,0.03907406586677061,-0.045897489683394126,-0.13848265462911677,0.037458948730212265,0.032639748127910845,-0.14231968785524182,0.037618438651667314,-0.053417457094028946,-0.1965972318573146,0.011058607682991583,0.03238478680030356,-0.2022484296102906,0.01097014284599633,-0.08552556873201814,-0.15367286062017368,-0.031056494484681316,0.06772098062506592,-0.16162582057275987,-0.03201152385379506
gorUSNM252577_LM1,0.07348868706324108,437.2220881234231,-0.0009901775234799112,-0.02970907396514088,-0.05992375861310779,-0.009250630696051733,-0.15686805882312702,-0.01611038044416735,0.00377928944272818,0.023366748564624555,0.034689915307267394,0.0017383922702991423,0.08288342136968327,-0.0019213100801041985,0.0017687423460280005,0.0968354829507343,-0.01864208854480846,0.007990981937583892,0.14367950614260291,-0.09618721603345988,0.015247998741583906,0.21152590623793543,-0.097346216903371,-0.011913746339373176,0.1396533832291069,-0.10504127111587672,0.030074419672220465,0.13884639684695213,-0.10615320704007424,-0.03705184287325248,0.18500000468900119,-0.09693358236424764,0.06011809401350357,0.18205367252972815,-0.0909541927401758,-0.026435612669618407,0.1423744412418923,-0.0885161056303625,0.04569012100633304,0.1415854050654444,-0.07933630335341746,-0.05217563651315732,0.15170491711184653,-0.08886006704175876,0.06790916789278306,0.15008138100433874,-0.08282912606087814,-0.07768337701138862,0.1470053325994067,-0.0658716841523544,0.09505767151977097,0.13617144872732193,-0.06687969125648924,-0.002474845852421234,-0.020860373728659214,0.1170561600167083,-0.005075823128411133,-0.10051869767363181,0.05821037321838179,-0.009117271841918,-0.14709339649290457,0.016738160640450903,-0.011411261934800831,-0.2065654819135755,0.0007495491710657552,-0.070456571722513,0.004000561728506584,0.15085861072017073,0.07172501382322473,0.0023752783334026937,0.14743331235235524,-0.11560064805656588,0.00560936835365894,0.11208790806108886,0.11653479083167423,-0.0029207854667740434,0.11250093930571009,-0.021796337113795507,-0.007021454290233725,0.08566330261018316,0.020104691883521094,-0.006824386496894748,0.0875869862185505,-0.059050121838557325,-0.03996393650966796,0.05908802045416898,0.05115526867782685,-0.0447680242216008,0.06129398656462313,-0.1406108136535176,-0.010140052233656755,0.04177932033330638,0.1394211325197706,-0.020090386261498158,0.03888765727427989,-0.11728387567519426,-0.05961769421820197,-0.0014849068660738032,0.10838080692943661,-0.06743302995847462,-0.003981801291816287,-0.06854859085175494,-0.07617874905598378,0.01838970720360244,0.0589141246639534,-0.07974235725869785,0.02254787241256318,-0.0444194751984569,-0.13405836667544108,0.03111566637094246,0.026556499471730277,-0.13771181637126279,0.03282217887746574,-0.047304834241532076,-0.2047232569582282,0.005613669458620745,0.02498657595205011,-0.20872280564284051,0.003566993178899301,-0.08574273269696472,-0.1589625230056949,-0.03502794271408981,0.06724044383670316,-0.16425794950399566,-0.03667943750376968
