,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51
LM 1_X,0.00858161065541859,-0.012472230744031391,0.009281866308376501,-0.0331547914092553,-0.004931293451728989,-0.019450866407636887,0.02003670403864928,0.03844100380193405,-0.02700413337649543,0.013815781377350346,0.06453074071160018,0.0050411639175770104,0.05947112078728756,-0.051727805236716606,-0.01416515718363569,0.011246087292884612,-0.018848919229882116,-0.010140129233244383,0.06332060728764556,-0.012197010171463194,0.018387422227386933,-0.05072451544790207,-0.0037313777947155036,0.02486589664563429,-0.03194483432149632,0.0007928571517034843,-0.10128583868340499,0.00011897130647943265,-0.06362588199510871,-0.06592523745272824,-0.02627740043323558,0.06953666095154064,-0.050149142546707444,0.0007529238919454711,0.01862513646071854,0.03129787459734076,-0.10290537070369406,0.0723562083462005,0.007203538874980042,0.1376676317320838,-0.0364910040618646,0.041574284167139645,0.00424601404446803,-0.02988113399694773,-0.05426585263549558,0.04036020768668367,-0.07683970226239754,0.0499966540313928,-0.026216879264753887,-0.1215563679730033,0.09584713135867201
LM 1_Y,0.0014351255500987259,-0.00693818153891812,0.003766807249186155,0.012314149910319427,-0.017512302231354356,0.0034970829280335514,-0.0010674151425473788,-0.015271205675169902,-0.010005205399091,-0.042670898754150796,-0.0016804749193323476,0.03818169514702674,-0.006205797759905096,0.009331345223120888,0.02519189405635024,-0.001238031889350729,0.0020002354106030407,-0.039597433830005545,0.026723208689796413,0.014027885552257733,-0.0092400663141692,0.011819992221545061,-0.00888386763123016,-0.016919668532756477,0.012327510956594005,0.04078819896589681,0.022634608775741485,0.043204684856772625,-0.02071071539513216,0.01946928112857929,0.0184805427077421,-0.027618526374260453,-0.07088903812251905,-0.010109226064743593,-0.0191533864188546,-0.058713514335352934,0.03305045230849303,-0.01159568380001037,0.02879959650670499,-0.042375172536161326,-0.07223027965350126,-0.028274266740152418,0.021434785190569704,0.1956706706986375,0.09472257181117588,-0.07551348902494218,-0.0705790733537401,-0.09432425167278528,-0.12618540375984236,0.0640535066768228,0.6199286275284565
LM 1_Z,0.00738304737458639,-0.002917694638331178,0.006776806369080551,-0.012257798933249036,0.02065453624128705,-0.030344799079181736,0.024016305120685037,0.015628371511975752,-0.003984557915593925,-0.015893194898432023,0.007877709495526,0.0037335776811235452,0.048902747247220296,-0.03289846851896786,-0.013789298689819379,0.02489274566436307,0.016824626547255122,-0.010902289064824452,-0.020704127531012306,0.05057287227517382,0.06789839566302443,-0.03014650229392972,-0.02998264035680067,-0.03228605918886225,0.015119013865240345,0.01195071984111361,0.03911841418350599,-0.0022203995745722085,-0.06611605231583301,0.006024051244170488,0.021048565866221627,-0.03764060005412427,-0.04200645353676471,-0.03745803844073649,0.08205429413181359,0.009872002405106054,-0.07422415368744356,-0.07700312140307625,0.0546563927136549,-0.004335562243309277,-0.04654354707652307,0.02034882309167473,-0.07667363419011483,-0.032117984229962634,0.05538502889662806,0.040067140478224496,-0.06905823979247405,0.06653453574417265,-0.027722984218351773,-0.0032713065121878476,-0.10905809287976558
LM 2_X,-0.0013821116136387406,-0.00209531135726357,0.008290683444378888,-0.04557046744153595,0.00199285531114794,-0.03448952150024314,-0.01767905621803366,-0.007791543026198242,-0.008870159784306282,-0.019662668803315186,-0.03030116180111554,-0.01965014857303099,0.00726386315423029,-0.01180103044823071,-0.0005717363808811113,0.009008280469066822,0.033383167829331276,-0.049151595449464854,-0.01586004064115613,0.025981355101347938,0.022345519640745236,-0.014361127188114444,-0.015491072326927337,-0.042929539673415784,-0.08152345288105317,0.03275144299671017,0.032820668975096154,-0.015304264129785066,0.09941229771114564,-0.021056764730653606,0.0019131194076224551,-0.0469847629259096,0.028099580738989584,-0.03438066936839459,0.1444124833664997,-0.0055007078444257625,0.0464314927774788,-0.008435813059682072,0.058363886617780615,-0.0573664965034089,-0.06242402539827444,-0.046001268714219286,0.04240149488045403,-0.028257975550923086,0.02568900694553815,0.07035100414053658,-0.018294266414101323,-0.015604868453229826,-0.09590710364413489,0.04606191072909044,0.20536393577774967
LM 2_Y,0.0029916424678932824,-0.0016293635885750828,-0.015740503385979685,-0.05064535966019709,-0.010527444348464102,-0.043255569930682254,-0.02749412813847261,0.018867934049477043,-0.023235208340776112,-0.0015709285917885922,-0.01812914360315631,0.021942893558954336,-0.005480255465108739,-0.006321972952836634,-0.016066625059891673,0.017364822109482664,0.02887766485930902,-0.05717153284508288,0.02002156524362904,0.006171654698083398,-0.004134237241332351,-0.0386981822210365,0.022153393700526797,-0.06248832798020192,-0.13116060572945093,0.01888048101809291,-0.008026421693244109,1.9744794754526437e-05,0.06973992996220367,0.0012417703203218375,-0.02943168090384196,0.05543215684313532,0.031298264995190644,-0.034325615398280405,0.08940239287058455,0.01562615677450137,0.06331120384361166,0.024321137438101964,0.09687170713085821,-0.03228410726106598,-0.07927574832028968,-0.0833151652256652,-0.003097029616384798,0.022170049905195985,-0.012522585386068947,0.043341542430798824,0.004329443578815892,0.11800827674386978,-0.1923560185968282,-0.010408952589756416,-0.0967514037234102
LM 2_Z,-0.001751159101002063,-5.21606513065858e-05,-0.014979109001467771,0.0037329364077496466,6.311240547986484e-05,-0.0006752626509557093,-0.005890340388084245,-0.008308378173223606,0.03361682632423367,0.016526833598577772,0.006599237913177011,-0.014576674736500312,-0.02521226369137627,0.011066253504097425,-0.0008252317473796881,-0.026324344549303453,0.010041246358806747,0.0007987711289889378,-0.046885177353782774,-0.004189369300985988,-0.04139554636342272,0.012693585973729386,-0.004049715809536076,-0.00836908937061405,-0.0013242492998743654,0.014359140015274713,-0.0449975644016309,0.019794261452779814,-0.05667034840666044,0.0140574753612916,0.021569849252936067,-0.015579548466694907,-0.06533735862251895,-0.010862776398221113,-0.041059449768837214,-0.011762771660542001,0.09083348079341563,-0.06670944912517955,0.06774747236535535,-0.021823727125886705,-0.0029634056036378087,0.02195520093554633,0.030063615500532253,0.029026828760497794,-0.023890213249033735,-0.06659913076191351,-0.08659839643949616,-0.12736151278237362,0.022757699077852467,0.009369912664277889,0.0032003055707329597
LM 3_X,0.0012982154311251201,0.002580833557337271,0.011834060367275604,0.0384048860184846,-0.00387641859705653,0.021292001244103208,-0.01108277440102379,-0.012471349563829942,0.005946169013144979,0.013857672794477274,-0.04310203591670234,-0.025085943768139857,-0.0037366997930606974,0.04745176796606508,0.01789816383145001,-0.018926631249743153,0.019895857286005243,0.038999241543246424,-0.04263350852621818,-0.04681129504173018,0.017018805347699013,0.0699901026003987,-0.04166171840147319,0.014141102542607092,0.0691339255823265,0.029968517427953617,0.025392370335351827,0.03605519498797471,0.03934368346982813,0.08034872916977517,-0.039087029437190765,-0.08139747967623771,-0.022525088633050694,0.04252913855007614,-0.10207049893094158,0.051519995085582464,-0.04213470756235724,0.06683446399998978,-0.03288586063431474,0.05029670247825536,-0.12449823024648635,-0.08208554697182846,-0.1543726407579331,-0.09041937998799392,0.09607721845453301,0.016738709039684236,-0.1370123145985136,0.009010423524193907,-0.024907343868568577,-0.17184387853025856,-0.030007129320925963
LM 3_Y,0.009130863574379762,0.062116364126464416,-0.07078013599098029,-0.016216977303104802,0.040449505032405214,0.05110854937777844,0.0619867018662425,-0.03452523515740416,-0.007370930343097385,0.05316802079468915,-0.006988162063878849,0.06477876088308752,-0.009509700887060595,-0.007814189523407868,0.07562093393474523,-0.03277859805304081,0.08285078696454853,0.09542676782278746,-0.13688150698103146,-0.11772833489053995,-0.00945069608450879,0.16704926354790317,0.09031695082177482,-0.11196959635496004,0.08023380005097008,-0.17065753107468276,0.00910111336394464,0.11749515900194767,0.0370274786689811,-0.12249845674161278,0.02936329671150048,0.06588497127390114,-0.24348783108230276,-0.12852326129806985,0.08882137944146483,0.05535137919336458,0.11539814962051392,-0.11071069427857279,0.01691421714350708,-0.1074002976123363,-0.008792189810018088,0.09019997477515267,0.07763497519868559,0.10171318505731303,-0.11672661124561022,-0.0345287439828943,0.013634716182914144,0.053004411419393355,-0.08112150644167841,0.06622186227873654,-0.020971531455252636
LM 3_Z,-0.022060263454100414,-0.06704280670395762,0.052564284309360026,0.02647945820933344,0.003726080348234165,-0.030927557762610483,-0.06440978585320306,0.025046107151627823,0.042679274188174424,0.0011065268470300221,0.03652136906339705,-0.01512845734854186,-0.09503055873851415,0.034777129983207145,-0.07694087284129197,-0.011688511850416985,-0.12122487050019835,-0.06022359966764285,-0.14354214082024416,0.11866925198625754,-0.024498392610720746,-0.10395385865860603,-0.08917775538448117,0.1184075595404301,-0.05481897982127866,0.23320245704792786,-0.003238920360296548,-0.10734751078959028,-0.07688692287323969,0.003292760597532428,0.03269273472637492,0.019622647267659214,0.12080546338874162,0.07276888703230107,-0.05328117515778677,-0.06865412159740919,0.02628982137086503,-0.09566320164490841,0.15740303468157943,-0.06686793592079746,0.006529856737226912,0.08695411036858278,-0.18053345971294346,-0.030658432970055095,0.013708617792164096,0.08472475855565159,0.0217633851349675,-0.04259783561878885,0.20453116527496043,0.026223363571660684,0.056783848844411663
LM 4_X,-0.002055003374260081,0.033193497540065106,-0.04557355783269143,-2.672651548924626e-05,0.07057138041809964,0.12197449056499717,0.09451607786340782,-0.10895519433003477,-0.005206477647812907,0.06362474285700931,-0.07622018012070993,-0.07131179003807843,-0.04549294291470501,0.07310384770945476,0.0860342215078021,-0.09367376262022009,-0.01728460327622273,-0.014608017641894289,0.019078872162599774,-0.04878329601893716,-0.10469069878024857,0.12219797303093384,0.11562867111703468,0.10808845427173985,0.007037858336468613,-0.021391431152808595,-0.14078005788789838,-0.09326425575029,0.002991223874402741,0.19079519060080946,-0.04972573258819679,-0.09844986583454635,-0.08603538648619095,0.061653640670852806,0.019410501814952498,-0.03727448573472838,0.12017655464822004,0.0826145638201177,0.03228763402733036,-0.0033786767190027425,0.09952687025830353,-0.07012212798299741,0.06965752802363685,-0.014777945956371129,-0.13173404849354445,-0.10953284138350028,-0.041367346309004356,-0.11005439593985882,-0.005184321263002301,0.060931993588548256,-0.04774796127762865
