Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51
gorUSNM174715_LM1,495.03320534177226,-13.749216592997913,8.973034552814656,-36.584400581661974,0.34220535551386,4.765266286408133,-13.97997445461308,1.9006752781749034,-28.35198926752028,-37.65727214660407,-11.472786648539117,-13.273488315436456,-1.223344666228295,3.339533616889116,-2.21799077111896,-5.455290438773574,-18.809881331860865,3.934527422601735,15.335252495680908,2.3876273394838625,5.054348395912127,-8.375230000119547,-6.576123930897592,-8.385605099488252,13.479477151013509,3.6100613566306867,0.48386726083303344,-12.469389350793262,13.218012292311213,9.565262453324237,0.4807864111097734,12.344583839428692,6.076686867474266,4.895858798849124,16.716823566686973,3.7928155612864796,-2.8088739913638614,12.823915890507664,-10.57116940518176,0.42790449783821805,8.529298822212908,5.68477123586497,-8.794659964147069,8.867152914515778,-3.187467634576879,4.431651103564962,-2.622581900467493,-2.702215852658649,4.096175573499787,3.0813428318595597,-4.75176399114821
gorUSNM174722_LM1,484.6062678735632,-7.171947954494955,10.92873301460145,-25.36537467594983,-12.931164641978782,-2.1408372306670667,-2.555957948400132,9.801488493008303,-23.08265111580632,-32.0999712407298,-13.407171218404113,-24.993611016361175,1.5469136026753452,12.372286869424533,-0.44139307299576064,-5.783082363592563,-13.682174450701947,9.442638933739993,18.786789256051954,7.122910686654036,7.164102396130252,-7.954086114773708,-4.0631761502223105,-1.600725557225703,14.584431892469071,-0.9924620324408213,-1.2312830225835316,-17.885238727272206,14.437863953262722,2.4440788819024237,-1.9150055082518658,11.074075292214923,9.301576580375542,2.7099257471417215,15.418510682100559,2.8321812687383385,-1.061981345762821,13.019566910488097,-9.31755747973176,-0.7690884585464637,8.948572720104494,6.806054992755652,-7.510888776995945,8.141837822031352,-4.091958601922345,3.4983751913764665,-2.4106589568983314,-3.362516408921797,5.613128141122685,2.4399943823340102,-4.751763991148216
gorUSNM176209_LM1,501.38099919561046,5.450823864327732,72.65977481193453,-29.380012484990434,-1.1162435767892163,7.3696492759588015,-15.791145695268673,4.615325377594722,-31.343516626144925,-41.49502431027043,-4.784244616300873,-16.117887372940704,11.386012257458251,14.184938906927007,-3.950530938874714,-0.6234392074091706,-11.855427042099405,3.4776211536094377,14.821223479844711,5.168050156551944,5.465357122755089,-9.247771419012292,-9.606103160172355,-4.030828803106128,10.27905773970693,1.186446954537403,-2.8149555418894403,-14.947241982235568,12.984687139588782,3.382865891724938,-0.6938067798134019,11.230478012971068,6.789305697247117,4.027936400138914,13.391288056109632,3.9877405292987285,-1.718792369879044,12.500252098507037,-10.235322731721405,-1.6412861612824865,8.813010107367958,5.222829266464305,-7.591383789342742,8.023974736568029,-2.3300477527569954,3.4862384797503028,-2.742317987259301,-3.4826952018404342,5.246266692599141,2.6677151951584808,-4.751763991148085
gorUSNM176211_LM1,498.445607924724,-2.7021692348094044,16.16002295694691,-45.162109812896226,3.624509178738574,10.153190471664587,-9.77475639139272,-2.185578309049366,-37.3458015636502,-41.91439345569434,-7.9619271266990035,-26.12144576235942,0.16150419863800353,17.654963306451307,3.014651784133272,-3.8188564916590733,-13.786134907150023,7.925637099858333,16.935278888490213,8.027527566061279,1.22410083618318,-9.78626173115614,-5.459867840455279,-3.6868866204247306,17.007880299935405,-2.2883688627308656,-3.758739088032022,-14.545492717180327,6.476434267149745,6.0203169065879205,-0.09181457874942855,9.121854532285399,5.205921592240298,6.203978828471867,14.473255857773633,5.7145663339399135,-1.9824249618916654,14.647935699360309,-9.913045518089802,0.6215549691040949,8.213113810311633,6.076000645787856,-8.110981475302061,7.652799919643024,-3.4279554903678067,4.1104431294658905,-2.9922558935765657,-3.135896435129058,5.998812298547158,2.5945214888110817,-4.751763991148161
gorUSNM176216_LM1,494.9825435659136,-2.4050846471093,37.56470962815156,-38.80962732522931,-5.226585876361048,8.993407958141065,-6.921804142788516,17.686962401549998,-27.765016368990675,-41.11673939552869,-7.184451661294919,-23.281816533723728,-3.4735698529392067,8.79622278355095,-1.0762318754762348,7.711846933978052,-15.841966393750752,10.68049924932645,17.322312976467696,7.71027524572817,3.9974706905964563,-10.883567499308242,-3.6520819082930975,-5.88555354366418,12.206670214948396,-2.0052173420643293,-5.322795412762965,-14.143671863980797,12.884168473420889,6.530247135197817,2.0117885065318974,10.67097688094102,8.496497843294543,5.7465301519781935,15.158834756853766,6.290552383056507,-3.518094253891789,8.66391784446652,-10.460473348218617,0.9743203644581029,7.139868398012302,6.854589005837429,-6.599953225703183,8.335867843142058,-3.000031932346984,4.823846552314759,-2.6504417586095594,-3.280052258603099,4.659992708062784,2.6958696144507748,-4.7517639911481435
gorUSNM176217_LM1,544.6153641430602,13.257938788062651,27.008010690426904,-32.449599355239066,7.7187585163629056,1.181111450857802,-2.1723779943406067,-8.0994029093515,-32.48208815405854,-40.437863957830075,-8.835361774711892,-16.959543030198724,-4.626661913346463,11.835442965437817,5.748110085690475,6.443117895106123,-10.037189405561296,4.812228454977639,19.486008818020238,8.472551516704476,8.958816264906384,-7.1533021322107,-6.690711296235129,-6.253901955402165,9.576303339703646,1.9550722659051312,-0.9098893662052912,-15.776432555620087,10.255324938804513,1.4957748080635538,0.7380306430128816,12.505106197430223,7.577188014383379,5.199629213483634,17.24210665512534,2.657757325589275,-1.1913626831513808,11.196770404046266,-9.670017131638232,0.7996187536746864,8.60753545462332,7.249097373753055,-6.4856794621651845,9.06882285060241,-3.4501385450503568,3.5597787726722476,-2.422322038900551,-1.688685915279235,5.059718708525397,2.7511248582545345,-4.751763991148129
gorUSNM220060_LM1,392.3405297545224,-14.055328298016445,17.981872698306546,-30.91387967390392,5.645915115500975,7.0875635276550275,-5.3489530012137845,5.226290758806314,-21.624135091618438,-42.07520129236648,-9.362614241429881,-12.424534259788206,-0.7134949968695176,10.625892348511814,3.176971509760727,1.6443783478265188,-10.56409383639395,3.3894408730239225,9.736193392407632,7.817467948050771,3.8691437353873965,-6.257387868093453,-8.236334635499992,-11.302880823700244,16.299884372121138,-4.200176147213917,-5.7060905973461,-15.122480230012508,11.599846642962024,1.4922076795986525,0.11622119658919361,9.980870408973848,9.1779012498225,2.206902156926588,13.64722310778152,3.399689290466868,-2.8495639040608625,12.120068908866042,-8.350069168637884,1.8967801742138664,9.704899353067077,5.135661987387831,-8.54033706219689,8.069970296247128,-3.3298630563198417,4.751493898732656,-2.571860351498576,-3.495033045246692,5.4975194708511905,2.6541306786942256,-4.7517639911482314
gorUSNM220324_LM1,508.42383080369257,7.846746638137616,11.642864155616495,-19.45059608140094,-5.980105658523911,-7.073084009664992,-22.154893774394843,4.082435341688814,-31.3535634591251,-40.13513720849992,-10.317856938890282,-13.920192144700927,0.48480905626582077,20.52428281787104,-4.597638272780659,0.48437299822077173,-14.410215089641817,8.285349987040835,21.291596358020648,7.23006738849109,4.485558999162713,-9.190191494340027,-6.265020423939038,-12.148912532099448,16.279949960264126,0.83404641742193,-4.438146845989848,-12.791857523891428,12.33881082506719,3.781327471855674,2.623238825901085,10.577686086081272,8.855826238323722,4.42738692548018,14.411128726194622,3.247763042418725,-2.4812218933268975,12.477909596147281,-10.094581835832162,0.8447479932394355,6.2866153369737034,6.173051250425413,-6.758576115152203,7.087275919532887,-2.3880434072910877,3.7706207150416033,-2.887936066727403,-1.8704372169378882,5.760526031109935,2.1510561766902576,-4.7517639911481595
gorUSNM252575_LM1,407.4176136852115,2.0832326809452777,34.22700759781784,-19.3804244511984,-5.144978225878879,3.550945702020581,-10.969249867078718,0.4968712222869076,-26.321657893155088,-41.184701237804276,-18.459497398070592,-15.966584333612753,-9.818107641492965,14.758285497252025,-8.406903611967525,1.6539471281432765,-14.886352557750293,4.971594931625827,13.313148203212537,4.8555334721590455,0.9820947296476327,-12.420904420895498,-9.628683986707088,-4.3947826702674755,11.81559769901792,-4.785274735377313,-1.8103912837677716,-16.135179380703182,9.996137463249074,2.2411708090401676,0.034904352211365786,9.619304361801882,6.958807624618095,7.459510552209599,16.871447045719155,3.3481293258690594,-1.5166737106268007,13.674254090220009,-10.843454526575158,0.23313317504858966,6.782142983616249,5.8282449800381055,-6.979108907680635,9.01720443813756,-4.004002814201026,3.8140354094668,-2.419432189579463,-3.7166334334424196,4.147926277688112,3.055874358213751,-4.751763991148259
gorUSNM252577_LM1,427.55543289381717,-11.693202672877566,28.0635891847535,-19.688587909393107,7.034599348593604,16.956259785025548,-8.939428723090659,13.069645913286342,-28.47539074603014,-36.5524719934182,-11.27078118696238,-14.038507244031937,-6.219898816563188,17.01500226524022,-0.24288240851341275,2.69867888850195,-12.192762864631177,5.683388908215132,16.70528452725503,8.598208097106165,6.148296450505364,-0.4905682145372181,-5.084857237119412,-3.8552096559024918,17.952126836112697,-0.9854136428321265,0.2747997678811477,-12.835085678689694,12.360530405767404,6.2959326574996775,0.3283272822965403,12.110248594077252,6.461554836457693,6.098935475211143,14.998201491899456,3.233038690732756,-1.0877052638702231,12.745679412363542,-12.035411910753428,-1.09743377800284,8.278007525927691,4.986169657180045,-6.2881013155868155,9.218980424351308,-2.474533182543368,3.4595157663990674,-4.108508239332963,-2.7117210042887665,5.796226593113469,2.152348765941655,-4.751763991148375
